name,fish,Jan,Feb,Mar,May,June,July,Aug,Sept,Oct,Nov,Dec,total,quota,percent,date,coop
漁業者A,さば類,10,15,10,50,10,5,5,60,70,2,0,237,400,59.25,2024-11-04,えんまき
漁業者B,さば類,5,5,5,5,5,10,10,100,10,10,0,165,300,55.00,2024-11-04,えんまき
漁業者C,さば類,100,3,3,3,40,2,2,2,10,1,0,166,200,83.00,2024-11-04,えんまき
漁業者D,さば類,70,0,1,1,0,1,10,4,0,0,0,87,100,87.00,2024-11-04,えんまき
漁業者A,まあじ,75,182,159,86,80,158,71,168,123,145,0,1247,2000,62.35,2024-11-04,えんまき
漁業者B,まあじ,110,27,175,94,81,166,60,16,104,169,0,1002,2500,40.08,2024-11-04,えんまき
漁業者C,まあじ,106,199,186,190,46,32,13,117,169,17,0,1075,2000,53.75,2024-11-04,えんまき
漁業者D,まあじ,101,182,153,31,118,48,151,80,48,154,0,1066,1800,59.22,2024-11-04,えんまき
漁業者A,まいわし,42,123,37,142,19,108,121,94,168,93,0,947,2000,47.35,2024-11-04,えんまき
漁業者B,まいわし,158,41,121,142,76,152,67,198,186,141,0,1282,1700,75.41,2024-11-04,えんまき
漁業者C,まいわし,102,46,65,48,174,176,16,19,71,199,0,916,1500,61.07,2024-11-04,えんまき
漁業者D,まいわし,87,135,67,112,199,145,97,109,161,27,0,1139,1900,59.95,2024-11-04,えんまき
